T=3000, N-stage=384, safety_margin=0.94, return=-7.333
T=3000, N-stage=384, safety_margin=0.95, return=-6.621
T=3000, N-stage=384, safety_margin=0.96, return=-6.561
T=3000, N-stage=384, safety_margin=0.97, return=-6.544
T=3000, N-stage=384, safety_margin=0.98, return=-7.181
T=3000, N-stage=384, safety_margin=0.99, return=-8.351
T=3000, N-stage=384, safety_margin=1.00, return=-10.014
T=3000, N-stage=480, safety_margin=0.92, return=-9.187
T=3000, N-stage=480, safety_margin=0.93, return=-8.237
T=3000, N-stage=480, safety_margin=0.94, return=-7.346
T=3000, N-stage=480, safety_margin=0.95, return=-6.635
T=3000, N-stage=480, safety_margin=0.96, return=-6.574
T=3000, N-stage=480, safety_margin=0.97, return=-6.527
T=3000, N-stage=480, safety_margin=0.98, return=-7.145
T=3000, N-stage=480, safety_margin=0.99, return=-8.315
T=3000, N-stage=480, safety_margin=1.00, return=-9.981
